cliente,total_pedidos,valor_total,ticket_medio,primeira_compra,ultima_compra
CASA COQUEIRO 1,268,2116932.38,7899.0,2026-02-01 00:00:00,2026-02-01 00:00:00
STOK CENTER 55,402,1397052.98,3475.26,2026-02-01 00:00:00,2026-02-01 00:00:00
STOK CENTER 20,383,1378822.87,3600.06,2026-02-01 00:00:00,2026-02-01 00:00:00
STOK CENTER 21,360,1355928.09,3766.47,2026-02-01 00:00:00,2026-02-01 00:00:00
STOK CENTER 40,402,1337357.53,3326.76,2026-02-01 00:00:00,2026-02-01 00:00:00
STOK CENTER 24,399,1309795.67,3282.7,2026-02-01 00:00:00,2026-02-01 00:00:00
STOK CENTER 90,345,1308738.41,3793.44,2026-02-01 00:00:00,2026-02-01 00:00:00
STOK CENTER 26,377,1308083.94,3469.72,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADOS RONDON LJ 4,666,1216392.7,1826.42,2026-02-01 00:00:00,2026-02-01 00:00:00
CF DISTRIBUIDORA DE ALIMENTOS,253,1214136.03,4798.96,2026-02-01 00:00:00,2026-02-01 00:00:00
STOK CENTER 33,375,1206877.24,3218.34,2026-02-01 00:00:00,2026-02-01 00:00:00
STOK CENTER 75,385,1196697.42,3108.3,2026-02-01 00:00:00,2026-02-01 00:00:00
STOK CENTER 35,393,1195901.48,3043.01,2026-02-01 00:00:00,2026-02-01 00:00:00
STOK CENTER 95,373,1179576.28,3162.4,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADOS RONDON LJ 3,646,1143684.54,1770.41,2026-02-01 00:00:00,2026-02-01 00:00:00
STOK CENTER 85,397,1135650.53,2860.58,2026-02-01 00:00:00,2026-02-01 00:00:00
STOK CENTER 23,390,1131622.04,2901.59,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPER DAL POZZO,1902,1105664.15,581.32,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO IBIUNA,481,1103036.5,2293.22,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADO META 21,2383,1095944.7,459.9,2026-02-01 00:00:00,2026-02-01 00:00:00
SUPERMERCADOS RONDON LJ 1,659,1077796.38,1635.5,2026-02-01 00:00:00,2026-02-01 00:00:00
STOK CENTER 65,396,1055499.97,2665.4,2026-02-01 00:00:00,2026-02-01 00:00:00
STOK CENTER 45,345,1052479.7,3050.67,2026-02-01 00:00:00,2026-02-01 00:00:00
KALBIR COMERCIAL L5,206,1021571.04,4959.08,2026-02-01 00:00:00,2026-02-01 00:00:00
