produto,total_vendas,receita_total
SABAO EM PO OMO LAVAGEM PERFEITA 800G,1293019.0,18390828.08
"SABAO EM PO OMO LAVAG PERF CX 1,6KG",534324.0,13398055.44
SABAO EM PO BRILHANTE LIMPEZA TOTAL 2.2KG,582459.0,13086530.92
DETERGENTE LIQUIDO YPE NEUTRO 500ML,4574277.272,11463686.99
DETERGENTE LIQUIDO YPE CLEAR 500ML,4210826.289999999,10573412.08
"SABAO EM PO OMO LAVAG PERF CX 2,2KG",319448.0,10052382.13
"SABAO EM PO BRILHANTE LIMP TOTAL CX 1,6KG",464791.83900000004,8889596.48
"SABAO EM PO TIXAN YPE PRIMAVERA CX 1,6KG",447406.8,8520996.28
"SABAO EM PO TIXAN YPE MACIEZ CX 1,6KG",404095.0,7726962.49
SABAO EM PO TIXAN YPE PRIMAVERA 2.2KG,328782.0,7466373.67
AMACIANTE DILUIDO YPE ACONCHEGO 2L,681912.7650000001,6611267.56
AGUA SANITARIA QBOA 2L,833956.16669,6590758.16
SABAO EM PO TIXAN YPE PRIMAVERA CX 800G,518905.745,6018656.85
DETERGENTE LIQUIDO LIMPOL NEUTRO 500ML,2416116.66,5929214.62
SABAO EM PO BRILHANTE LIMPEZA TOTAL 800G,514054.0,5862914.39
SABAO EM PO TIXAN YPE MACIEZ 800G,469356.55,5411135.15
SABAO EM PO TIXAN YPE PRIMAVERA GTS 10% 2.2KG,253544.0,5373399.0
DETERGENTE LIQUIDO YPE COCO 500ML,1996860.182,5117107.47
SABAO EM PO BRILHANTE LIMPEZA TOTAL 1.6KG,257916.69999999998,5115701.22
AGUA SANITARIA QBOA 1L,1211342.5599,5079065.26
SABAO EM PO TIXAN YPE MACIEZ CX 2.2KG,200760.0,4645962.78
DETERGENTE LIQUIDO YPE MACA 500ML,1714858.5539999998,4346459.8
AMACIANTE DILUIDO YPE INTENSO 2L,446449.0,4345449.57
DETERGENTE LIQUIDO YPE LIMAO 500ML,1652638.513,4173355.14
SABAO LIQUIDO OMO LAVAGEM PERFEITA 900ML,257659.0,4007514.83
DETERGENTE LIQUIDO LIMPOL CRISTAL 500ML,1594724.993,3927122.41
SABAO EM PO SURF ROSAS/FLOR DE LIS 1.6KG,251149.0,3917694.42
SABAO EM PO BRILHANTE LIMPEZA TOTAL 2.4KG,163976.0,3909496.94
AGUA SANITARIA QBOA 5L,235685.5,3867396.7
AGUA SANITARIA YPE FRASCO 2L,490610.0,3851993.08
SABAO LIQUIDO OMO LAVAGEM PERFEITA 3L,85443.0,3667383.12
AMACIANTE CONCENTRADO DOWNY BRISA INTENSO 500ML,278316.00006,3447075.32
AMACIANTE CONCENTRADO DOWNY BRISA DE VERAO FRASCO 500ML,273899.18678000005,3399944.73
DETERGENTE LIQUIDO LIMPOL COCO SQUEEZE 500ML,1358786.4719999998,3359637.38
AMACIANTE CONCENTRADO DOWNY BRISA DE VERAO FRASCO 1L,134392.0,3168518.07
OUTROS PRODUTOS,342736.0,3113732.63
DETERGENTE LIQUIDO YPE CAPIM LIMAO 500ML,1224369.167,3086460.16
SABAO EM PO BRILHANTE SPERFUME SC 4KG,99201.6,3081816.42
SABAO LIQUIDO BRILHANTE LIMPEZA TOTAL 3L,98893.0,3064515.75
SABAO EM PO TIXAN YPE MACIEZ SC 400G,528724.594,3021680.01
SABAO EM PO TIXAN YPE PRIMAVERA SC 4KG,87628.0,2990805.45
AMACIANTE DILUIDO YPE ACONCHEGO 5L,147660.0,2982820.87
"SABAO EM PO OMO LAVAG PERF SC 2,4KG",91769.0,2935834.51
LIMPADOR MULTIUSO VEJA ORIGINAL SQUEEZE 10%DESC 500ML,559025.0009999999,2887314.13
DETERGENTE LIQUIDO LIMPOL MACA SQUEEZE 500ML,1096758.711,2683850.85
DETERGENTE LIQUIDO LIMPOL LIMAO SQUEEZE 500ML,1088442.9470000002,2681133.52
DETERGENTE LIQUIDO YPE CLEAR CARE 500ML,1050256.5,2646162.16
AMACIANTE CONCENTRADO DOWNY BRISA INTENSO FRASCO 1L,109887.0,2597793.39
AGUA SANITARIA DRAGAO 1L,1176116.0,2459460.73
AGUA SANITARIA YPE GALAO 5L,162427.0,2431700.37
SABAO EM PO TIXAN YPE PRIMAVERA SACHE 1.6KG,122067.0,2378473.71
SABAO EM PO ALA LAVANDA 400G,669777.0,2338086.79
"SABAO EM PO TIXAN YPE PRIMAVERA 10% DESC CX 1,6KG",132249.0,2336862.3
SABAO LIQUIDO UAU ROSAS SEDUCAO 3L,85387.0,2240708.71
AMACIANTE CONCENTRADO DOWNY LIRIOS DO CAMPO FRASCO 500ML,168813.9999,2125448.27
"SABAO EM PO URCA MAXX 2,2KG",121831.5,2097857.44
SABAO EM PO ALA ROSAS E FLOR DE LIS SACHE 400G,598056.0,2088674.24
SABAO LIQUIDO UAU ACTIVE 3L,78610.0,2088383.88
AGUA SANITARIA CLORITO 1L,1086362.0,2084156.77
AGUA SANITARIA YPE FRASCO 1L,452351.0,2039877.59
SABAO EM PO BRILHANTE ALTA PERFORMACE PRO 4KG,51457.9999,2010709.62
SABAO EM PO TIXAN YPE MACIEZ CX 1.6KG,100897.3602,1980934.29
AMACIANTE CONCENTRADO DOWNY BRISA DE VERAO FRASCO 450+50ML,162146.0,1929745.9
AMACIANTE CONCENTRADO DOWNY LIRIOS DO CAMPO FRASCO 1L,80382.0,1917462.19
DETERGENTE LIQUIDO MINUANO NEUTRO 500ML,804100.0,1889631.61
SABAO EM PO SURF 5EM1 FLOR DE LIS PCT 800G,201362.0,1887003.77
LIMPADOR MULTIUSO VEJA ORIGINAL SQUEEZE 500ML,360855.0,1847127.96
SABAO LIQUIDO AQUAFAST MULTIACAO 3L,84155.4,1842334.88
AMACIANTE CONCENTRADO COMFORT FRESCOR INTENSO FRASCO 500ML,160592.0,1780333.24
SABAO EM PO TIXAN YPE PRIMAVERA2.4KG,68972.0,1770124.25
"SABAO EM PO OMO LAVAG PERF 5,6KG",24153.0,1759624.83
SABAO EM PO ALA CUIDADO DO COCO 400G,501612.0,1756974.19
AGUA SANITARIA TUBARAO 1L,722449.0,1753690.13
SABAO EM PO BRILHANTE CUIDADO TOTAL 800G,149197.0,1753643.83
SABAO EM PO TIXAN YPE MACIEZ SC 4KG,42902.0,1720238.6
SABAO LIQUIDO BRILHANTE LIMPEZA TOTAL SC 900ML,131644.0,1719063.03
AMACIANTE CONCENTRADO COMFORT INTENSIVO FRASCO 900ML,90830.0,1687364.85
SABAO EM PO OMO LAVANDA CART 800G,98621.0,1625822.89
SABAO EM PO TIXAN YPE PRIMAVERA SACHE 400G,311260.0,1619564.86
AMACIANTE CONCENTRADO GIRANDO SOL  COCO BAUNILHA 1L,95083.0,1606716.08
SABAO EM PO GIRANDO SOL OPTICAL WASH FLORAL PARIS 4KG,60482.0,1602527.33
AMACIANTE CONCENTRADO DOWNY FRESCOR DA PRIMAVERA FR 500ML,127323.7869,1597752.59
LAVA ROUPAS LIQ BRILHANTE LIM TOTAL BRANC COLORID GL 5000ML,42358.0,1586062.81
"SABAO EM PO SURF CUIDADO DO COCO PCT 1,6KG",96882.0,1581732.41
AMACIANTE DILUIDO YPE TERNURA 2L,162205.0,1568703.12
SABAO EM PO TIXAN YPE MACIEZ SC 800G,137737.0,1552300.04
SABAO EM PO TIXAN YPE PRIMAVERA SC 800G,138506.0,1550232.77
SABAO EM PO TIXAN YPE PRIMAVERA CX 400G,234915.91460000002,1503990.03
SABAO EM PO OMO PURO CUIDADO CX 800G,89267.0,1485320.68
SABAO EM PO OMO SCH LAVAGEM PERFEIT 400G,151321.31089999998,1474761.99
DESINFETANTE PINHO SOL ORIGINAL 1L,91201.0,1473094.31
AGUA SANITARIA GIRANDO SOL VERDE 2L,232811.5,1447172.27
"AMACIANTE CONCENTRADO DOWNY BRISA DE VERAO FRASCO 1,5L",47669.0,1436035.18
