CNPJ;RAZAO_SOCIAL;COD_PRODUTO;DESC_PRODUTO;QTD;VALOR_UNITARIO;VALOR_TOTAL;DATA_VENDA;UF;CIDADE;CANAL
12345678000190;SUPERMERCADO CENTRAL LTDA;SKU001;AGUA MINERAL 500ML CX24;10;28.90;289.00;2024-01-05;RS;PORTO ALEGRE;DISTRIBUIDOR
98765432000110;ATACADO BOA VISTA EIRELI;SKU002;REFRIGERANTE COLA 2L CX12;25;54.00;1350.00;2024-01-05;RS;CAXIAS DO SUL;ATACADO
11223344000155;MERCEARIA SAO JOAO ME;SKU001;AGUA MINERAL 500ML CX24;4;28.90;115.60;2024-01-06;RS;GUAPORE;VAREJO
12345678000190;SUPERMERCADO CENTRAL LTDA;SKU003;SUCO LARANJA 1L CX12;8;72.00;576.00;2024-01-07;RS;PORTO ALEGRE;DISTRIBUIDOR
44556677000188;DISTRIBUIDORA NORTE RS;SKU004;ENERGETICO 250ML CX24;30;96.00;2880.00;2024-01-07;RS;ERECHIM;DISTRIBUIDOR
98765432000110;ATACADO BOA VISTA EIRELI;SKU001;AGUA MINERAL 500ML CX24;50;28.90;1445.00;2024-01-08;RS;CAXIAS DO SUL;ATACADO
55667788000122;SUPERMERCADO FAMILIA LTDA;SKU005;ISOTONICO 500ML CX12;6;48.00;288.00;2024-01-08;RS;SANTA MARIA;VAREJO
11223344000155;MERCEARIA SAO JOAO ME;SKU002;REFRIGERANTE COLA 2L CX12;2;54.00;108.00;2024-01-09;RS;GUAPORE;VAREJO
44556677000188;DISTRIBUIDORA NORTE RS;SKU003;SUCO LARANJA 1L CX12;20;72.00;1440.00;2024-01-10;RS;ERECHIM;DISTRIBUIDOR
66778899000133;MINI MERCADO ESPERANCA;SKU001;AGUA MINERAL 500ML CX24;3;28.90;86.70;2024-01-10;RS;PASSO FUNDO;VAREJO
12345678000190;SUPERMERCADO CENTRAL LTDA;SKU004;ENERGETICO 250ML CX24;15;96.00;1440.00;2024-01-12;RS;PORTO ALEGRE;DISTRIBUIDOR
77889900000144;ATACAREJO SUL LTDA;SKU002;REFRIGERANTE COLA 2L CX12;60;54.00;3240.00;2024-01-12;RS;PELOTAS;ATACADO
55667788000122;SUPERMERCADO FAMILIA LTDA;SKU001;AGUA MINERAL 500ML CX24;12;28.90;346.80;2024-01-13;RS;SANTA MARIA;VAREJO
98765432000110;ATACADO BOA VISTA EIRELI;SKU005;ISOTONICO 500ML CX12;18;48.00;864.00;2024-01-14;RS;CAXIAS DO SUL;ATACADO
66778899000133;MINI MERCADO ESPERANCA;SKU003;SUCO LARANJA 1L CX12;2;72.00;144.00;2024-01-15;RS;PASSO FUNDO;VAREJO
44556677000188;DISTRIBUIDORA NORTE RS;SKU006;AGUA COM GAS 500ML CX24;40;32.00;1280.00;2024-01-15;RS;ERECHIM;DISTRIBUIDOR
12345678000190;SUPERMERCADO CENTRAL LTDA;SKU005;ISOTONICO 500ML CX12;10;48.00;480.00;2024-01-17;RS;PORTO ALEGRE;DISTRIBUIDOR
77889900000144;ATACAREJO SUL LTDA;SKU001;AGUA MINERAL 500ML CX24;80;28.90;2312.00;2024-01-18;RS;PELOTAS;ATACADO
11223344000155;MERCEARIA SAO JOAO ME;SKU006;AGUA COM GAS 500ML CX24;2;32.00;64.00;2024-01-18;RS;GUAPORE;VAREJO
55667788000122;SUPERMERCADO FAMILIA LTDA;SKU004;ENERGETICO 250ML CX24;5;96.00;480.00;2024-01-20;RS;SANTA MARIA;VAREJO
98765432000110;ATACADO BOA VISTA EIRELI;SKU006;AGUA COM GAS 500ML CX24;35;32.00;1120.00;2024-02-02;RS;CAXIAS DO SUL;ATACADO
12345678000190;SUPERMERCADO CENTRAL LTDA;SKU002;REFRIGERANTE COLA 2L CX12;20;54.00;1080.00;2024-02-03;RS;PORTO ALEGRE;DISTRIBUIDOR
44556677000188;DISTRIBUIDORA NORTE RS;SKU005;ISOTONICO 500ML CX12;25;48.00;1200.00;2024-02-05;RS;ERECHIM;DISTRIBUIDOR
66778899000133;MINI MERCADO ESPERANCA;SKU002;REFRIGERANTE COLA 2L CX12;3;54.00;162.00;2024-02-05;RS;PASSO FUNDO;VAREJO
77889900000144;ATACAREJO SUL LTDA;SKU003;SUCO LARANJA 1L CX12;45;72.00;3240.00;2024-02-07;RS;PELOTAS;ATACADO
88990011000166;SUPERMERCADO NOVO MUNDO;SKU001;AGUA MINERAL 500ML CX24;20;28.90;578.00;2024-02-08;RS;URUGUAIANA;VAREJO
11223344000155;MERCEARIA SAO JOAO ME;SKU004;ENERGETICO 250ML CX24;1;96.00;96.00;2024-02-10;RS;GUAPORE;VAREJO
12345678000190;SUPERMERCADO CENTRAL LTDA;SKU006;AGUA COM GAS 500ML CX24;12;32.00;384.00;2024-02-12;RS;PORTO ALEGRE;DISTRIBUIDOR
88990011000166;SUPERMERCADO NOVO MUNDO;SKU004;ENERGETICO 250ML CX24;8;96.00;768.00;2024-02-14;RS;URUGUAIANA;VAREJO
55667788000122;SUPERMERCADO FAMILIA LTDA;SKU006;AGUA COM GAS 500ML CX24;6;32.00;192.00;2024-02-15;RS;SANTA MARIA;VAREJO
44556677000188;DISTRIBUIDORA NORTE RS;SKU002;REFRIGERANTE COLA 2L CX12;55;54.00;2970.00;2024-02-18;RS;ERECHIM;DISTRIBUIDOR
98765432000110;ATACADO BOA VISTA EIRELI;SKU004;ENERGETICO 250ML CX24;40;96.00;3840.00;2024-02-20;RS;CAXIAS DO SUL;ATACADO
77889900000144;ATACAREJO SUL LTDA;SKU005;ISOTONICO 500ML CX12;30;48.00;1440.00;2024-02-22;RS;PELOTAS;ATACADO
66778899000133;MINI MERCADO ESPERANCA;SKU006;AGUA COM GAS 500ML CX24;2;32.00;64.00;2024-02-25;RS;PASSO FUNDO;VAREJO
88990011000166;SUPERMERCADO NOVO MUNDO;SKU002;REFRIGERANTE COLA 2L CX12;10;54.00;540.00;2024-03-01;RS;URUGUAIANA;VAREJO
12345678000190;SUPERMERCADO CENTRAL LTDA;SKU003;SUCO LARANJA 1L CX12;15;72.00;1080.00;2024-03-03;RS;PORTO ALEGRE;DISTRIBUIDOR
